iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
avg-eth0,148.0299,429.7668,26821.66,613566.5
avg-eth8,0,0,0,0
avg-eth11,119637.1,0,122508426,0
avg-lo,0,0,0,0
