pps,runningtime
999.1008,59.62758
3001.695,68.69793
6003.453,67.52618
12008.58,68.22756
25019.09,67.22181
50004.11,63.09428
99926.31,69.57061
250119,82.20783
500169.3,93.85574
999834.8,158.1828
