executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3672805,3.971145125
./mem-walk-no-thread-no-thrash,3560858,3.709190020
./mem-walk-no-thread-no-thrash,3456405,3.333574374
./mem-walk-no-thread-no-thrash,3465618,3.647247113
./mem-walk-no-thread-no-thrash,3468658,3.424159237
./mem-walk-no-thread-no-thrash,3557364,3.851827094
./mem-walk-no-thread-no-thrash,3411904,3.143405376
./mem-walk-no-thread-no-thrash,3414574,3.315607943
./mem-walk-no-thread-no-thrash,3538923,3.903610016
./mem-walk-no-thread-no-thrash,3580689,3.834858038
./mem-walk-no-thread,541334316,10.932891328
./mem-walk-no-thread,546215884,10.891352616
./mem-walk-no-thread,562465202,10.896922943
./mem-walk-no-thread,553786539,10.874123752
./mem-walk-no-thread,549874912,10.904593324
./mem-walk-no-thread,550084870,10.861307481
./mem-walk-no-thread,550173861,10.924519599
./mem-walk-no-thread,537919026,10.877978689
./mem-walk-no-thread,536417698,10.871701218
./mem-walk-no-thread,546581917,10.836512758
./mem-walk-no-thrash,29348019,11.252120121
./mem-walk-no-thrash,8115714,11.109130079
./mem-walk-no-thrash,26479636,11.344283666
./mem-walk-no-thrash,5589815,11.105087351
./mem-walk-no-thrash,26399830,11.377369506
./mem-walk-no-thrash,10536961,11.106936694
./mem-walk-no-thrash,7172066,11.091189925
./mem-walk-no-thrash,25683971,11.295422480
./mem-walk-no-thrash,18643190,11.395779821
./mem-walk-no-thrash,7470532,11.002041099
./mem-walk,1286303682,49.985134003
./mem-walk,1500685742,50.578882844
./mem-walk,1382337165,50.185675304
./mem-walk,1355044271,50.175124289
./mem-walk,1421555866,50.367605336
./mem-walk,1691045741,51.313118313
./mem-walk,3651319765,66.139154617
./mem-walk,1652693828,51.087737849
./mem-walk,1509963599,50.860199362
./mem-walk,1513453820,50.837786645
