iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
avg-eth0,3.468734,3.835751,558.1509,1316.151
avg-eth8,1.070201,207912.5,288.3786,53225582
avg-eth11,452984.3,1.032746,115963963,286.154
avg-lo,0,0,0,0
