iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
eth0,3.69704236610711,3.69704236610711,602.517985611511,835.131894484412
eth0,2.19802178039764,2.39784194225197,354.480967129583,982.7155559996
eth0,3.79734186069751,4.29699210552613,607.37483761367,1613.67043069851
eth0,3.49790125924445,3.89766140315811,561.663002198681,1533.08015190885
eth0,2.69838097141715,2.89826104337398,435.13891665001,963.621826903858
eth0,2.2986208275035,2.79832100739556,360.983409954028,1280.23186088347
eth0,3.99680255795364,4.396482813749,644.484412470024,1514.58832933653
eth0,2.1982414068745,2.39808153477218,354.516386890488,788.169464428457
eth0,3.79734186069751,4.29699210552613,607.37483761367,1418.60697511742
eth0,3.49755171380034,3.89727190966324,561.606875187369,1337.86349555311
eth0,2.69838097141715,2.89826104337398,435.13891665001,768.938636817909
eth0,2.2986208275035,2.59844093543874,360.983409954028,1077.95322806316
eth0,3.79696243005596,4.29656274980016,608.912869704237,1698.6410871303
eth0,2.39784194225197,2.79748226596064,390.048955939654,1453.0922170047
eth0,3.79734186069751,3.99720195862896,607.37483761367,1212.55121415009
eth0,3.29802118728763,3.79772136717969,526.084349390366,1522.48650809514
eth0,2.897971420006,3.29769161586889,470.67053062856,1433.99620265814
eth0,2.2986208275035,2.49850089946032,360.983409954028,879.07255646612
eth0,3.79696243005596,4.29656274980016,608.912869704237,1503.99680255795
eth0,2.39784194225197,2.79748226596064,390.048955939654,1258.46737935858
eth0,3.89727190966324,4.09713200759468,613.770360747477,1023.88328170281
eth0,3.19776156690317,3.69741181173179,519.636254621765,1320.87538722894
eth0,2.89826104337398,3.29802118728763,470.717569458325,1239.45632620428
eth0,2.2986208275035,2.49850089946032,360.983409954028,684.389366380172
eth0,3.79696243005596,4.09672262190248,608.912869704237,1301.3589128697
eth0,2.19802178039764,2.69757218503347,354.480967129583,1442.50174842642
eth0,3.99720195862896,4.39692215449186,642.949935045468,1683.02188468072
eth0,3.29802118728763,3.49790125924445,526.084349390366,1121.32720367779
eth0,2.69838097141715,3.19808115130921,435.13891665001,1423.54587247651
eth0,2.4982512241431,2.897971420006,396.522434295993,1349.45538123314
eth0,3.79734186069751,3.99720195862896,608.973718397122,1103.02788048366
eth0,2.1982414068745,2.69784172661871,354.516386890488,1248.00159872102
eth0,3.99720195862896,4.39692215449186,642.949935045468,1487.95842909963
eth0,3.29802118728763,3.49790125924445,526.084349390366,926.244253447931
eth0,2.69811132207455,3.19776156690317,435.095433196762,1228.73988208254
eth0,2.49850089946032,2.89826104337398,396.562062762343,1154.90705576654
eth0,3.79734186069751,3.99720195862896,608.973718397122,907.964424902568
eth0,2.1982414068745,2.49800159872102,354.516386890488,1045.36370903277
eth0,3.79696243005596,4.29656274980016,607.314148681055,1672.2621902478
eth0,3.39830084957521,3.79810094952524,555.322338830585,1585.6071964018
eth0,2.79832100739556,2.99820107935239,441.535078952628,1028.78273036178
eth0,2.2986208275035,2.79832100739556,360.983409954028,1338.99660203878
eth0,3.89649315615946,4.29613347986812,638.025776800879,1566.78988909981
eth0,2.29816147082334,2.49800159872102,360.911270983213,853.317346123102
eth0,3.79734186069751,4.29699210552613,607.37483761367,1477.36584390926
eth0,3.39796122326604,3.79772136717969,555.266839896062,1390.36578053168
eth0,2.69838097141715,2.89826104337398,435.13891665001,827.703377973216
eth0,2.39832117517738,2.897971420006,367.342859998001,1150.59458379135
eth0,3.8968824940048,4.29656274980016,638.089528377298,1371.90247801759
eth0,2.1982414068745,2.39808153477218,354.516386890488,651.878497202238
eth0,3.79772136717969,4.09754147511493,607.435538676794,1275.23485908455
eth0,3.29835082458771,3.79810094952524,526.136931534233,1581.40929535232
eth0,2.897971420006,3.29769161586889,470.67053062856,1492.75507144999
eth0,2.19868079152508,2.39856086348191,354.587247651409,931.441135318809
eth0,3.8968824940048,4.396482813749,615.307753796962,1569.1446842526
eth0,2.39808153477218,2.79776179056755,390.087929656275,1317.34612310152
eth0,3.69741181173179,3.89727190966324,600.979314479864,1069.85110422704
eth0,3.29769161586889,3.79734186069751,526.031777755571,1386.02977915459
eth0,2.99820107935239,3.39796122326604,477.113731760943,1304.6172296622
eth0,2.19846107724593,2.39832117517738,354.551813730389,736.684320975317
eth0,3.79696243005596,4.29656274980016,608.912869704237,1367.70583533173
eth0,2.49775202317914,2.8973923468878,396.443201118993,1128.58427415326
eth0,3.69741181173179,3.89727190966324,600.979314479864,875.587089037674
eth0,3.29802118728763,3.59784129522287,526.084349390366,1183.88966620028
eth0,2.69811132207455,3.19776156690317,435.095433196762,1482.16248625962
eth0,2.49850089946032,2.89826104337398,396.562062762343,1408.3549870078
eth0,3.79696243005596,3.99680255795364,608.912869704237,1161.67066346922
eth0,2.1982414068745,2.69784172661871,354.516386890488,1306.75459632294
eth0,3.8968824940048,4.29656274980016,636.490807354117,1540.16786570743
eth0,3.29769161586889,3.49755171380034,526.031777755571,984.910562606176
