iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
eth0,132.327973634275,384.600019974034,24024.7678018576,549813.043044043
eth0,142.871415725847,411.529623338995,25993.206114497,586285.942651614
eth0,137.593609585622,396.00599101348,25355.1672491263,566792.810783824
eth0,143.427487773231,414.113184948598,26353.3286755165,593010.679708554
eth0,134.305985809933,389.127610672529,24543.6194663735,556520.635555111
eth0,132.667332667333,387.212787212787,24039.3606393606,554305.494505494
eth0,140.819786576244,411.189787573551,25522.2898174928,588308.167946544
eth0,135.869022661475,392.133373265449,24592.3929320156,558637.915543576
eth0,142.52896524171,415.401518178186,25815.2217339193,594150.419496604
eth0,133.599600599101,390.614078881677,24217.6734897654,558737.69345981
eth0,159.124962541205,438.817300968934,28727.3998601538,611089.201877934
eth0,114.573968634502,334.032564179403,20754.3701927879,477913.694935571
eth0,138.337159397145,403.533286755165,25069.5678211398,577148.018764348
eth0,141.773919984037,409.957098673052,25653.7962685823,583857.926768433
eth0,136.309167165968,397.143998402237,24696.6247253845,568280.806870381
eth0,136.195706440339,398.00299550674,24693.3599600599,570157.963055417
eth0,136.590727418066,398.581135091926,24757.1942446043,570237.210231815
eth0,135.677889899091,396.443201118993,24589.6692976321,567822.959336597
eth0,129.840319361277,378.243512974052,23514.5708582834,540523.552894211
eth0,140.448877805486,405.68578553616,25423.6408977556,578016.758104738
eth0,135.669362084456,395.327942497754,24581.0122791255,565768.793051812
eth0,136.150234741784,397.462790929977,24681.8499650385,569090.600339626
eth0,143.684473290065,393.01048427359,25922.1168247629,545132.301547679
eth0,136.953483729287,401.078059492913,24808.5446196846,574241.764823318
eth0,135.982428115016,396.665335463259,24643.3706070288,567708.466453674
eth0,137.112064664205,396.168047101088,24807.7038219739,564187.206865582
eth0,143.841086045119,419.844280295468,26065.0828508684,600557.995607906
eth0,135.207897098415,395.55289659986,24508.9241200518,566035.297636853
eth0,133.273435160228,389.63761605271,24144.9535789158,557623.839472896
eth0,138.667198723065,405.227454110136,25130.6863527534,579950.718276137
eth0,135.823429541596,396.784180565265,24617.5971237391,567607.510236692
eth0,133.792277761149,386.211713059962,24202.7337124613,549514.716152848
eth0,143.213572854291,418.063872255489,25963.4730538922,598879.640718563
eth0,136.93981435273,399.840303423495,24802.0760554946,572309.012875536
eth0,146.938367795425,403.556088302867,26514.2343422236,560740.78513635
eth0,133.180137875912,389.349585373164,24145.2692576681,557557.997801978
eth0,129.132128233297,376.210925796465,23373.0150803955,537838.410066913
eth0,137.00818853605,395.446375074895,24799.6804473737,562638.30637108
eth0,142.700219692431,417.21589774316,25872.3786698622,597113.640902736
eth0,133.406505687488,389.243663939333,24159.8483336659,556710.636599481
eth0,141.3596885295,411.799940101827,25622.841170011,589167.215733253
eth0,129.093450479233,377.695686900958,23403.1549520767,540850.439297125
eth0,138.977635782748,405.251597444089,25163.338658147,579101.637380192
eth0,137.507489514679,396.944278010785,24892.1509886159,565447.773117635
eth0,151.987217894947,444.577591372079,27558.6179348912,637137.60734971
eth0,141.174121405751,385.982428115016,25445.6869009585,535318.290734824
eth0,137.290167865707,400.779376498801,24887.6898481215,573465.627498002
eth0,136.109446774516,397.543439185141,24678.4501697623,569385.660075894
eth0,133.406505687488,387.946517661145,24151.0676511674,554798.044302534
eth0,145.710576250874,421.651852591631,26381.1045640667,601068.610805952
eth0,132.177033492823,386.064593301435,23959.7288676236,552771.73046252
eth0,134.271738045323,392.432864130977,24314.8647299591,561490.466207447
eth0,137.879392971246,402.356230031949,24994.2092651757,575694.888178914
