executable,cachemisses,runningtime
./mem-walk-no-thread-no-thrash,3571305,3.951091705
./mem-walk-no-thread-no-thrash,3586741,3.553956118
./mem-walk-no-thread-no-thrash,3568777,3.440494043
./mem-walk-no-thread-no-thrash,3633345,3.147097408
./mem-walk-no-thread-no-thrash,3772494,4.013414681
./mem-walk-no-thread-no-thrash,3539464,3.533011397
./mem-walk-no-thread-no-thrash,3466473,3.366922312
./mem-walk-no-thread-no-thrash,3567345,3.712001792
./mem-walk-no-thread-no-thrash,3615162,3.509592000
./mem-walk-no-thread-no-thrash,3628066,3.857798400
./mem-walk-no-thread,585573797,11.039639864
./mem-walk-no-thread,592549146,11.041450417
./mem-walk-no-thread,589112847,11.025652068
./mem-walk-no-thread,602312719,11.070141502
./mem-walk-no-thread,595623529,11.042762865
./mem-walk-no-thread,580581046,11.019503818
./mem-walk-no-thread,603014829,11.084909241
./mem-walk-no-thread,558181785,10.895353819
./mem-walk-no-thread,535743062,10.860435925
./mem-walk-no-thread,534215086,10.853319575
./mem-walk-no-thread,549023896,10.865119566
./mem-walk-no-thread,539962874,10.857432433
./mem-walk-no-thread,557284420,10.907293686
./mem-walk-no-thread,537419135,10.844897233
./mem-walk-no-thread,529451321,10.864077871
./mem-walk-no-thread,533587784,10.840610954
./mem-walk-no-thread,551363768,10.885235335
./mem-walk-no-thread,537657645,10.831424068
./mem-walk-no-thread,529208288,10.897306462
./mem-walk-no-thread,536028795,10.834334508
./mem-walk-no-thread,551263817,10.873421689
./mem-walk-no-thread,535125614,10.851723231
./mem-walk-no-thread,555629820,10.914999051
./mem-walk-no-thread,549083135,10.867387681
./mem-walk-no-thread,537170806,10.866734199
./mem-walk-no-thread,534774647,10.832808696
./mem-walk-no-thread,556927777,10.925904310
./mem-walk-no-thread,552555661,10.886366203
./mem-walk-no-thread,545640425,10.874190959
./mem-walk-no-thread,541748964,10.854782365
./mem-walk-no-thread,559098407,10.915359877
./mem-walk-no-thread,531890596,10.889773354
./mem-walk-no-thread,554407670,10.891664193
./mem-walk-no-thread,536597725,10.841099777
./mem-walk-no-thread,583327905,11.048253108
./mem-walk-no-thread,593538591,11.031149714
./mem-walk-no-thread,581113502,11.060529214
./mem-walk-no-thread,577090310,11.079453816
./mem-walk-no-thread,602656425,11.075700765
./mem-walk-no-thread,592103727,11.051001550
./mem-walk-no-thread,593225507,11.033854316
./mem-walk-no-thread,595729989,11.020408575
./mem-walk-no-thread,601999595,11.067560405
./mem-walk-no-thread,586658753,11.027984314
./mem-walk-no-thread,585251476,11.024718089
./mem-walk-no-thread,596507639,11.043016227
./mem-walk-no-thread,593378750,11.044191803
./mem-walk-no-thread,595874597,11.022882852
./mem-walk-no-thread,605686761,11.089443384
./mem-walk-no-thread,600220027,11.034288712
./mem-walk-no-thrash,9620286,5.936136692
./mem-walk-no-thrash,6630409,5.771676553
./mem-walk-no-thrash,8888875,5.892021111
./mem-walk-no-thrash,10765004,5.858290353
./mem-walk-no-thrash,5230379,5.739856079
./mem-walk-no-thrash,11027631,5.853520999
./mem-walk-no-thrash,7122955,5.804633664
./mem-walk-no-thrash,12957908,5.945109589
./mem-walk-no-thrash,8540900,5.788630579
./mem-walk-no-thrash,9765321,5.823112521
./mem-walk-no-thrash,10535881,5.821881783
./mem-walk-no-thrash,8056504,5.788055906
./mem-walk-no-thrash,9550924,5.807281975
./mem-walk-no-thrash,14844703,5.866351700
./mem-walk-no-thrash,4499268,5.708455247
./mem-walk-no-thrash,11977901,5.799792981
./mem-walk-no-thrash,10166105,6.098268945
./mem-walk-no-thrash,7706954,5.816920015
./mem-walk-no-thrash,7219298,5.891931711
./mem-walk-no-thrash,4053651,5.708765378
./mem-walk-no-thrash,9490314,6.037681876
./mem-walk-no-thrash,8653841,6.037297102
./mem-walk-no-thrash,7417085,5.767818182
./mem-walk-no-thrash,6478798,5.737129097
./mem-walk-no-thrash,12678038,5.781676166
./mem-walk-no-thrash,4336483,5.722077110
./mem-walk-no-thrash,8367178,5.747106338
./mem-walk-no-thrash,12207548,5.941600585
./mem-walk-no-thrash,11138361,5.803989476
./mem-walk-no-thrash,12486656,5.974085786
./mem-walk-no-thrash,13483080,5.949778824
./mem-walk-no-thrash,12320295,5.704139384
./mem-walk-no-thrash,8502317,5.769348410
./mem-walk-no-thrash,5999051,5.738874807
./mem-walk-no-thrash,10123729,5.861877086
./mem-walk-no-thrash,5461807,6.003680294
./mem-walk-no-thrash,8865926,5.817485944
./mem-walk-no-thrash,6154821,5.963097642
./mem-walk-no-thrash,9702576,6.088957719
./mem-walk-no-thrash,6839147,5.733601568
./mem-walk-no-thrash,5781180,5.743768666
./mem-walk-no-thrash,6894544,5.776464972
./mem-walk-no-thrash,13337791,5.991779197
./mem-walk-no-thrash,4973156,5.729448583
./mem-walk-no-thrash,9649551,5.758416588
./mem-walk-no-thrash,4579245,5.744834515
./mem-walk-no-thrash,11015259,5.755017332
./mem-walk-no-thrash,4403189,5.715949071
./mem-walk-no-thrash,10043887,5.986397443
./mem-walk-no-thrash,9717038,5.997071973
./mem-walk,925670285,25.123186733
./mem-walk,889381799,24.915018999
./mem-walk,967521889,24.949182784
./mem-walk,830214377,24.673117190
./mem-walk,989243935,25.126431865
./mem-walk,811607456,24.774616353
./mem-walk,908133958,24.707395154
./mem-walk,806472596,24.702240669
./mem-walk,2024256265,33.927205752
./mem-walk,974451090,25.240490763
./mem-walk,936824846,25.048864808
./mem-walk,790233934,25.265235560
./mem-walk,744422122,24.857850000
./mem-walk,993589710,25.386841584
./mem-walk,918135631,24.955525536
./mem-walk,2658677223,38.176069593
./mem-walk,1041138851,25.380198206
./mem-walk,712397677,24.896708469
./mem-walk,744947090,24.924995451
./mem-walk,809645811,24.891595001
./mem-walk,912335097,25.012625889
./mem-walk,715598281,24.992092380
./mem-walk,1016090240,24.955289384
./mem-walk,755014962,24.964163958
./mem-walk,1056752847,25.634350909
./mem-walk,967831784,25.237959028
./mem-walk,833245218,24.883785408
./mem-walk,793475134,25.050354561
./mem-walk,1069075852,25.271401397
./mem-walk,1027752400,25.642297753
./mem-walk,873070938,25.046442052
./mem-walk,2397743248,35.601902056
./mem-walk,883040073,25.129936480
./mem-walk,1072564922,24.640137084
./mem-walk,840259891,25.096000031
./mem-walk,1159633635,25.153239418
./mem-walk,835012789,24.929980574
./mem-walk,894419498,25.204250139
./mem-walk,713340219,24.951786271
./mem-walk,1030071363,25.231661369
./mem-walk,705784737,24.945910969
./mem-walk,1009209706,25.291489250
./mem-walk,602264578,24.740444490
./mem-walk,767552435,24.998816187
./mem-walk,704230415,24.930385189
./mem-walk,782000068,25.192552466
./mem-walk,698344957,24.854758187
./mem-walk,826901231,25.137180071
./mem-walk,1144152284,27.770633245
./mem-walk,854197988,25.088334756
