executable,cachemisses,runningtime
./mem-walk-no-thrash,18850381,6.080720266
./mem-walk,5346295596,63.970780455
./mem-walk,5891473180,66.750992347
./mem-walk,5916433999,67.307406713
./mem-walk,6013728567,67.855767399
./mem-walk,5919359939,67.419515925
./mem-walk,5921798902,67.373668587
./mem-walk,5752169816,66.593041009
./mem-walk,5887038476,67.291802734
./mem-walk,5923126896,67.390972123
./mem-walk,5856944032,66.929289677
./mem-walk,5836953007,66.426537968
./mem-walk,5849782649,67.163696455
./mem-walk,5995646777,68.135095068
./mem-walk,5965778002,68.159696868
./mem-walk,5837301241,66.882098424
./mem-walk,5703995795,65.890042327
./mem-walk,5863613166,66.950898770
./mem-walk,5908921123,67.177359116
./mem-walk,5908997337,67.849742364
./mem-walk,5992001338,67.711070983
./mem-walk,5728670148,66.664339941
./mem-walk,5840870545,66.716135268
./mem-walk,5920855769,68.748916673
./mem-walk,5939278360,67.538866596
./mem-walk,5826403858,67.258450032
./mem-walk,5833257597,66.966372916
./mem-walk,5927368730,67.549166137
./mem-walk,5826233926,66.878070920
./mem-walk,5885921025,67.448662139
./mem-walk,5846757327,67.599365620
./mem-walk,5973325100,67.940420522
./mem-walk,5904234788,67.974393754
./mem-walk,5931109821,67.148253898
./mem-walk,6012402882,67.284132693
./mem-walk,5802573390,66.451476803
./mem-walk,5864335084,67.351975289
./mem-walk,5929991238,67.660841370
./mem-walk,5844348167,67.685458801
./mem-walk,5880414883,68.232393953
./mem-walk,5850829386,66.349417065
./mem-walk,5921412066,68.611521493
./mem-walk,5861031380,66.583672918
./mem-walk,5843584211,66.867370295
./mem-walk,5771483468,67.749457269
./mem-walk,6036924353,67.922511495
./mem-walk,5871479031,67.720650504
./mem-walk,5527812202,64.451827320
./mem-walk,5767568908,66.856561245
./mem-walk,5734306248,65.267593659
./mem-walk,5845832049,67.091592104
