executable,type,mean,min,max,sd,rsd
mem-walk-no-thread-no-thrash,cache-misses,6194962,5598715,6907623,334088.3,5.392903
mem-walk-no-thread-no-thrash,running-time,3.629597,3.082287,4.180015,0.3454934,9.518784
mem-walk-no-thread,cache-misses,585791976,550760404,602323807,8708319,1.486589
mem-walk-no-thread,running-time,11.60663,11.55763,11.90312,0.05120225,0.4411465
mem-walk-no-thrash,cache-misses,19200462,17399843,23888417,1477985,7.697655
mem-walk-no-thrash,running-time,6.084568,5.968415,6.583027,0.07772437,1.277402
mem-walk,cache-misses,5860839516,5346295596,6036924353,115959830,1.978553
mem-walk,running-time,67.15599,63.97078,68.74892,0.8922528,1.328627
