------------------------------------------------------------
Client connecting to 2.0.0.2, UDP port 5001
Sending 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 1.0.0.1 port 44663 connected with 2.0.0.2 port 5001
[ ID] Interval       Transfer     Bandwidth
[  3] 87.0-88.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 88.0-89.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 89.0-90.0 sec  70.3 MBytes   590 Mbits/sec
[  3] 90.0-91.0 sec  92.6 MBytes   777 Mbits/sec
[  3] 91.0-92.0 sec  87.8 MBytes   737 Mbits/sec
[  3] 92.0-93.0 sec  93.0 MBytes   780 Mbits/sec
[  3] 93.0-94.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 94.0-95.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 95.0-96.0 sec  94.3 MBytes   791 Mbits/sec
[  3] 96.0-97.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 97.0-98.0 sec  96.7 MBytes   811 Mbits/sec
[  3] 98.0-99.0 sec  95.8 MBytes   804 Mbits/sec
[  3] 99.0-100.0 sec  95.2 MBytes   798 Mbits/sec
[  3] 100.0-101.0 sec  95.2 MBytes   798 Mbits/sec
[  3] 101.0-102.0 sec  94.3 MBytes   791 Mbits/sec
[  3] 102.0-103.0 sec  96.5 MBytes   810 Mbits/sec
[  3] 103.0-104.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 104.0-105.0 sec  96.8 MBytes   812 Mbits/sec
[  3] 105.0-106.0 sec  92.2 MBytes   773 Mbits/sec
[  3] 106.0-107.0 sec  96.7 MBytes   811 Mbits/sec
[  3] 107.0-108.0 sec  96.0 MBytes   805 Mbits/sec
[  3] 108.0-109.0 sec  96.3 MBytes   808 Mbits/sec
[  3] 109.0-110.0 sec  93.6 MBytes   785 Mbits/sec
[  3] 110.0-111.0 sec  96.6 MBytes   811 Mbits/sec
[  3] 111.0-112.0 sec  96.2 MBytes   807 Mbits/sec
[  3] 112.0-113.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 113.0-114.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 114.0-115.0 sec  96.4 MBytes   809 Mbits/sec
[  3] 115.0-116.0 sec  91.0 MBytes   764 Mbits/sec
[  3] 116.0-117.0 sec  95.9 MBytes   804 Mbits/sec
[  3] 117.0-118.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 118.0-119.0 sec  96.0 MBytes   805 Mbits/sec
[  3] 119.0-120.0 sec  94.6 MBytes   794 Mbits/sec
[  3] 120.0-121.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 121.0-122.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 122.0-123.0 sec  93.5 MBytes   784 Mbits/sec
[  3] 123.0-124.0 sec  92.7 MBytes   778 Mbits/sec
[  3] 124.0-125.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 125.0-126.0 sec  96.4 MBytes   809 Mbits/sec
[  3] 126.0-127.0 sec  96.9 MBytes   812 Mbits/sec
[  3] 127.0-128.0 sec  94.5 MBytes   793 Mbits/sec
[  3] 128.0-129.0 sec  90.5 MBytes   759 Mbits/sec
[  3] 129.0-130.0 sec  84.0 MBytes   705 Mbits/sec
[  3] 130.0-131.0 sec  84.1 MBytes   705 Mbits/sec
[  3] 131.0-132.0 sec  86.0 MBytes   722 Mbits/sec
[  3] 132.0-133.0 sec  47.9 MBytes   402 Mbits/sec
[  3] 133.0-134.0 sec  58.2 MBytes   488 Mbits/sec
[  3] 134.0-135.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 135.0-136.0 sec  91.8 MBytes   770 Mbits/sec
[  3] 136.0-137.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 137.0-138.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 138.0-139.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 139.0-140.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 140.0-141.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 141.0-142.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 142.0-143.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 143.0-144.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 144.0-145.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 145.0-146.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 146.0-147.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 147.0-148.0 sec  97.0 MBytes   813 Mbits/sec
[  3] 148.0-149.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 149.0-150.0 sec  97.0 MBytes   814 Mbits/sec
[  3] 150.0-151.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 151.0-152.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 152.0-153.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 153.0-154.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 154.0-155.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 155.0-156.0 sec  97.0 MBytes   813 Mbits/sec
[  3] 156.0-157.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 157.0-158.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 158.0-159.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 159.0-160.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 160.0-161.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 161.0-162.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 162.0-163.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 163.0-164.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 164.0-165.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 165.0-166.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 166.0-167.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 167.0-168.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 168.0-169.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 169.0-170.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 170.0-171.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 171.0-172.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 172.0-173.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 173.0-174.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 174.0-175.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 175.0-176.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 176.0-177.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 177.0-178.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 178.0-179.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 179.0-180.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 180.0-181.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 181.0-182.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 182.0-183.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 183.0-184.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 184.0-185.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 185.0-186.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 186.0-187.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 187.0-188.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 188.0-189.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 189.0-190.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 190.0-191.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 191.0-192.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 192.0-193.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 193.0-194.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 194.0-195.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 195.0-196.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 196.0-197.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 197.0-198.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 198.0-199.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 199.0-200.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 200.0-201.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 201.0-202.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 202.0-203.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 203.0-204.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 204.0-205.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 205.0-206.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 206.0-207.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 207.0-208.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 208.0-209.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 209.0-210.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 210.0-211.0 sec  97.0 MBytes   813 Mbits/sec
[  3] 211.0-212.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 212.0-213.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 213.0-214.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 214.0-215.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 215.0-216.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 216.0-217.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 217.0-218.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 218.0-219.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 219.0-220.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 220.0-221.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 221.0-222.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 222.0-223.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 223.0-224.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 224.0-225.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 225.0-226.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 226.0-227.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 227.0-228.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 228.0-229.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 229.0-230.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 230.0-231.0 sec  97.0 MBytes   814 Mbits/sec
[  3] 231.0-232.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 232.0-233.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 233.0-234.0 sec  97.0 MBytes   813 Mbits/sec
[  3] 234.0-235.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 235.0-236.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 236.0-237.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 237.0-238.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 238.0-239.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 239.0-240.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 240.0-241.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 241.0-242.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 242.0-243.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 243.0-244.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 244.0-245.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 245.0-246.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 246.0-247.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 247.0-248.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 248.0-249.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 249.0-250.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 250.0-251.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 251.0-252.0 sec  97.0 MBytes   813 Mbits/sec
[  3] 252.0-253.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 253.0-254.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 254.0-255.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 255.0-256.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 256.0-257.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 257.0-258.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 258.0-259.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 259.0-260.0 sec  97.0 MBytes   813 Mbits/sec
[  3] 260.0-261.0 sec  96.9 MBytes   813 Mbits/sec
[  3] 261.0-262.0 sec  96.9 MBytes   813 Mbits/sec
[  3]  0.0-262.6 sec  24.4 GBytes   800 Mbits/sec
[  3] Sent 17855417 datagrams
[  3] Server Report:
[  3]  0.0-262.6 sec  23.9 GBytes   782 Mbits/sec   0.018 ms 383292/17855416 (2.1%)
[  3]  0.0-262.6 sec  1 datagrams received out-of-order
