iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
avg-eth0,137.8778,399.6796,24969.17,570041.9
avg-eth8,0,0,0,0
avg-eth11,999993.7,0,63999600,0
avg-lo,0,0,0,0
