executable,type,mean,min,max,sd,rsd
mem-walk-no-thread-no-thrash,cache-misses,498241631,425869760,531378427,30908607,6.203538
mem-walk-no-thread-no-thrash,running-time,5.003422,4.312561,5.35294,0.3040278,6.076397
mem-walk-no-thread,cache-misses,9795053012,7536431863,12177617158,1798096557,18.35719
mem-walk-no-thread,running-time,97.75187,78.18012,118.8043,15.66339,16.02363
mem-walk-no-thrash,cache-misses,1665849829,1127350406,2006029097,305640318,18.34741
mem-walk-no-thrash,running-time,21.79582,16.76429,24.80743,2.331558,10.69727
mem-walk,cache-misses,19460277729,11353690750,36945508263,11829937565,60.79018
mem-walk,running-time,200.4158,124.6108,364.1032,111.7112,55.7397
