iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
avg-eth0,91.541,62.9137,81395.37,18299.26
avg-eth8,0,0,0,0
avg-eth11,11996.79,0,767794.4,0
avg-lo,0,0,0,0
