iface,rx_pkts,tx_pkts,rx_bytes,tx_bytes
eth0,144.866806345406,422.029332535169,26241.4446772423,603432.106155841
eth0,152.056709265176,447.084664536741,27580.071884984,641135.782747604
eth0,151.242887091944,443.046820405311,27462.1144055106,635203.953279425
eth0,149.121054734319,430.882940471434,26987.6148621654,614062.125449461
eth0,155.928478673459,456.89741284587,28279.0929977025,654699.830186795
eth0,92.988413903316,259.288853375949,16700.1598082301,363044.346783859
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth8,0,0,0,0
eth11,2995.00848557452,0,191680.543076769,0
eth11,2997.1028971029,0,191814.585414585,0
eth11,2994.70740962652,0,191661.274216097,0
eth11,2995.40734824281,0,191706.07028754,0
eth11,2994.70952285885,0,191661.409462967,0
eth11,2992.91699920192,0,191546.687948923,0
eth11,2993.8129927153,0,191604.031533779,0
eth11,2994.10942492013,0,191623.003194888,0
eth11,2994.70952285885,0,191661.409462967,0
eth11,2995.30750798722,0,191699.680511182,0
eth11,2994.41061982234,0,191642.27966863,0
eth11,2994.21157684631,0,191629.540918164,0
eth11,2993.8129927153,0,191604.031533779,0
eth11,2993.81052211241,0,191603.873415194,0
eth11,2992.91699920192,0,191546.687948923,0
eth11,2997.70183852918,0,191852.917665867,0
eth11,2995.60659011483,0,191718.821767349,0
eth11,2994.41061982234,0,191642.27966863,0
eth11,2995.30750798722,0,191699.680511182,0
eth11,2993.81052211241,0,191603.873415194,0
eth11,2996.20493358634,0,191757.115749526,0
eth11,2997.2027972028,0,191820.979020979,0
eth11,2995.90573197523,0,191737.966846415,0
eth11,2993.8129927153,0,191604.031533779,0
eth11,2995.00649156097,0,191680.415459902,0
eth11,2996.50419496604,0,191776.268477827,0
eth11,2995.90573197523,0,191737.966846415,0
eth11,2994.11177644711,0,191623.153692615,0
eth11,2995.60659011483,0,191718.821767349,0
eth11,2994.51043018265,0,191648.66753169,0
eth11,2992.21712233087,0,191501.895829176,0
eth11,2996.60407510987,0,191782.660807032,0
eth11,2992.61845386534,0,191527.581047382,0
eth11,2996.80351613225,0,191795.425032464,0
eth11,2995.00848557452,0,191680.543076769,0
eth11,2995.90573197523,0,191737.966846415,0
eth11,2992.31690281381,0,191508.281780084,0
eth11,2992.31996808298,0,191508.477957311,0
eth11,2993.8129927153,0,191604.031533779,0
eth11,2994.51043018265,0,191648.66753169,0
eth11,2994.70952285885,0,191661.409462967,0
eth11,2993.21289549855,0,191565.625311907,0
eth11,2996.50419496604,0,191776.268477827,0
eth11,2996.80351613225,0,191795.425032464,0
eth11,2996.50419496604,0,191776.268477827,0
eth11,2996.80351613225,0,191795.425032464,0
eth11,2989.33838182543,0,191317.656436827,0
eth11,3293.5303514377,0,210785.942492013,0
eth11,2995.30750798722,0,191699.680511182,0
eth11,2995.10831586303,0,191686.932215234,0
eth11,2992.91699920192,0,191546.687948923,0
eth11,2997.1028971029,0,191814.585414585,0
eth11,2996.50419496604,0,191776.268477827,0
eth11,2993.21289549855,0,191565.625311907,0
eth11,2993.21560411055,0,191565.798663075,0
eth11,2994.70952285885,0,191661.409462967,0
eth11,2993.8129927153,0,191604.031533779,0
eth11,2994.21157684631,0,191629.540918164,0
eth11,2995.90573197523,0,191737.966846415,0
eth11,2995.30563324011,0,191699.560527367,0
eth11,2992.91699920192,0,191546.687948923,0
eth11,2995.30750798722,0,191699.680511182,0
eth11,2995.90573197523,0,191737.966846415,0
eth11,2997.40233789589,0,191833.749625337,0
eth11,2995.30563324011,0,191699.560527367,0
eth11,2996.50419496604,0,191776.268477827,0
eth11,2994.11177644711,0,191623.153692615,0
eth11,2996.00559217096,0,191744.357898941,0
eth11,2996.20493358634,0,191757.115749526,0
eth11,2996.80351613225,0,191795.425032464,0
eth11,2995.60483468185,0,191718.709419638,0
eth11,2991.42486788314,0,191451.191544521,0
eth11,2996.50419496604,0,191776.268477827,0
eth11,2996.50419496604,0,191776.268477827,0
eth11,2995.90573197523,0,191737.966846415,0
eth11,2994.80934318227,0,191667.797963665,0
eth11,2995.9040959041,0,191737.862137862,0
eth11,2994.41061982234,0,191642.27966863,0
eth11,2994.11177644711,0,191623.153692615,0
eth11,2995.00848557452,0,191680.543076769,0
eth11,2996.20493358634,0,191757.115749526,0
eth11,2995.30563324011,0,191699.560527367,0
eth11,2990.82843186123,0,191413.019639119,0
eth11,2995.30750798722,0,191699.680511182,0
eth11,2995.40734824281,0,191706.07028754,0
eth11,2995.90573197523,0,191737.966846415,0
eth11,2995.00848557452,0,191680.543076769,0
eth11,2994.70740962652,0,191661.274216097,0
eth11,2996.20493358634,0,191757.115749526,0
eth11,2992.31996808298,0,191508.477957311,0
eth11,2994.41061982234,0,191642.27966863,0
eth11,2992.91699920192,0,191546.687948923,0
eth11,2995.10831586303,0,191686.932215234,0
eth11,2990.12862698175,0,191368.232126832,0
eth11,2995.10831586303,0,191686.932215234,0
eth11,2989.63627304434,0,191336.721474838,0
eth11,2996.20493358634,0,191757.115749526,0
eth11,2993.21560411055,0,191565.798663075,0
