pps,runningtime
997.5886,105.0809
3000.243,105.4407
6000.458,105.9247
11989.47,106.6714
25000.91,107.3982
49926.69,109.2224
99996.11,112.632
249884.1,141.0153
380189.2,123.2939
386215,117.9011
