pps,runningtime
1000.215,105.0367
2995.877,105.2154
6001.008,105.5329
12001.47,106.0254
25004.29,106.8257
50005.54,108.0786
99904.14,110.2142
250042.1,121.5348
500387.6,120.5027
999917.6,116.8839
