pps,runningtime
1000.248,105.0809
3000.474,105.4407
6000.841,105.9247
12002.2,106.6714
25003.34,107.3982
49945.61,109.2224
100009,112.632
249990,141.0153
499934.6,123.2939
999743.4,117.9011
