pps,runningtime
1000.3,105.0972
3000.664,105.3948
6001.162,105.9049
11990.88,106.6882
25003.59,107.4724
50008.17,109.078
99970.33,112.3446
249996.1,139.5286
383500,124.4561
390900.9,118.0055
